Product Name,Product Score,Cancer Concern,Allergies & Immunotoxicity,Developmental and Reproductive Toxicity,Use Restrictions,Other Concerns
CALOPHYLLUM INOPHYLLUM (ALEXANDRIAN LAUREL) SEED OIL,1,LOW,LOW,LOW,LOW,
D&C Green No. 6 (CI 61565),2,MODERATE,LOW,LOW,HIGH,"Use restrictions (high), Endocrine disruption (low), and Persistence and bioaccumulation (low)"
TRICAPRYLIN,1,LOW,LOW,LOW,LOW,Enhanced skin absorption
NYMPHAEA ODORATA (FRAGRANT WATER LILY) ROOT EXTRACT,1,LOW,LOW,LOW,LOW,
SALVIA OFFICINALIS (SAGE),1,LOW,LOW,LOW,LOW,
CHAMOMILLA RECUTITA (MATRICARIA) FLOWER OIL,2,LOW,LOW,LOW,LOW,Use restrictions (low) and Neurotoxicity (low)
STANNOUS FLUORIDE,1,LOW,LOW,LOW,MODERATE,Use restrictions (moderate)
TARAXACUM OFFICINALE (DANDELION) EXTRACT,1,LOW,LOW,LOW,LOW,
Malus Domestica Fruit Cell Culture,1,LOW,LOW,LOW,LOW,
COCOA,1,LOW,LOW,LOW,LOW,
HEXADECENE,1,LOW,LOW,LOW,LOW,
ERYTHORBIC ACID,1,LOW,LOW,LOW,LOW,
VITAMIN B5,1,LOW,LOW,LOW,LOW,
CAESALPINIA SPINOSA GUM,1,LOW,LOW,LOW,LOW,
ZINC SULFATE,3,LOW,LOW,LOW,HIGH,"Use restrictions (high), Persistence and bioaccumulation (moderate), Non-reproductive organ system toxicity (moderate), Ecotoxicology (low), and Occupational hazards (high)"
ADANSONIA DIGITATA OIL,1,LOW,LOW,LOW,LOW,
PEG/ PPG-17/ 18 DIMETHICONE,3,LOW,LOW,LOW,LOW,Non-reproductive organ system toxicity (low) and Contamination concerns (high)
DIPHENYL DIMETHICONE,1,LOW,LOW,LOW,LOW,
ISOMALT,1,LOW,LOW,LOW,LOW,
DECYLENE GLYCOL,1,LOW,LOW,LOW,LOW,
CHOLECALCIFEROL,5,LOW,LOW,LOW,HIGH,"Use restrictions (high), Non-reproductive organ system toxicity (moderate), and Occupational hazards (high)"
C12-16 ALCOHOLS,1,LOW,LOW,LOW,LOW,
PHTHALIC ANHYDRIDE/ TRIMELLITIC ANHYDRIDE/ GLYCOLS COPOLYMER,1,LOW,LOW,LOW,LOW,Use restrictions (low)
SACCHARINA JAPONICA EXTRACT,1,LOW,LOW,LOW,LOW,
HYDROGENATED PALM OIL,2,LOW,LOW,LOW,LOW,Contamination concerns (high)
ALBIZIA JULIBRISSIN BARK EXTRACT,1,LOW,LOW,LOW,LOW,
COFFEA ARABICA (ARABIAN COFFEE) SEED OIL,1,LOW,LOW,LOW,LOW,
ERYTHRULOSE,1,LOW,LOW,LOW,LOW,
PLUKENETIA VOLUBILIS SEED OIL,1,LOW,LOW,LOW,LOW,
TALLOW FATTY ACID,1,LOW,LOW,LOW,LOW,
ARGININE HYDROCHLORIDE,1,LOW,LOW,LOW,LOW,
2-METHYLRESORCINOL,5,LOW,MODERATE,LOW,HIGH,Use restrictions (high)
BETA VULGARIS (COMMON BEET) ROOT EXTRACT,1,LOW,LOW,LOW,LOW,
PRUNUS AMYGDALUS DULCIS (SWEET ALMOND) FRUIT EXTRACT,1,LOW,LOW,LOW,LOW,
SUPEROXIDE DISMUTASE,1,LOW,LOW,LOW,LOW,
TRITICUM VULGARE (WHEAT) GERM EXTRACT,1,LOW,LOW,LOW,LOW,
HYDROGENATED OLIVE OIL,1,LOW,LOW,LOW,LOW,"Multiple, additive exposure sources (low)"
CITRUS AURANTIUM AMARA (BITTER ORANGE) FLOWER OIL,4,LOW,HIGH,LOW,MODERATE,"Use restrictions (moderate), Persistence and bioaccumulation (moderate), and Irritation (skin, eyes, or lungs) (low)"
DIETHYLHEXYL CARBONATE,1,LOW,LOW,LOW,LOW,"Use restrictions (low) and Irritation (skin, eyes, or lungs) (low)"
EUGENIA CARYOPHYLLUS (CLOVE) LEAF OIL,3,LOW,HIGH,LOW,MODERATE,Use restrictions (moderate) and Non-reproductive organ system toxicity (moderate)
HYDROXYPROPYLCELLULOSE,1,LOW,LOW,LOW,LOW,
GLYCERYL POLYACRYLATE,1,LOW,LOW,LOW,MODERATE,"Enhanced skin absorption, Use restrictions (moderate), Irritation (skin, eyes, or lungs) (moderate), and Contamination concerns (high)"
QUATERNIUM-18 HECTORITE,1,LOW,LOW,LOW,LOW,Use restrictions (low)
PEG-75 LANOLIN,1,LOW,LOW,LOW,LOW,Non-reproductive organ system toxicity (low) and Contamination concerns (high)
LAURETH-3,1,LOW,LOW,LOW,LOW,"Use restrictions (low), Irritation (skin, eyes, or lungs) (low), and Contamination concerns (high)"
NELUMBO NUCIFERA (SACRED LOTUS) EXTRACT,1,LOW,LOW,LOW,LOW,
POLYESTER,1,LOW,LOW,LOW,LOW,
ISOTRIDECYL ISONONANOATE,1,LOW,LOW,LOW,LOW,
SPIRULINA MAXIMA (ALGAE) EXTRACT,1,LOW,LOW,LOW,LOW,
GOSSYPIUM HERBACEUM (COTTON) SEED OIL,1,LOW,LOW,LOW,LOW,Use restrictions (low)
POLYACRYLIC ACID,1,LOW,LOW,LOW,LOW,"Use restrictions (low), Non-reproductive organ system toxicity (moderate), Irritation (skin, eyes, or lungs) (low), and Contamination concerns (high)"
ROSA MOSCHATA (MUSK ROSE) SEED OIL,3,LOW,HIGH,LOW,LOW,Non-reproductive organ system toxicity (moderate)
SAPONIFIED PALM OIL,1,LOW,LOW,LOW,LOW,
ECHINACEA PURPUREA (PURPLE CONEFLOWER) EXTRACT,1,LOW,LOW,LOW,LOW,
ACRYLATES/ BEHENETH-25 METHACRYLATE COPOLYMER,1,LOW,LOW,LOW,LOW,"Use restrictions (low) and Irritation (skin, eyes, or lungs) (low)"
GOLD (CI 77480),2,LOW,LOW,LOW,HIGH,"Enhanced skin absorption, Use restrictions (high), and Non-reproductive organ system toxicity (low)"
TRIS(TETRAMETHYLHYDROXYPIPERIDINOL) CITRATE,1,LOW,LOW,LOW,LOW,
BAMBUSA ARUNDINACEA (BAMBOO) STEM POWDER,1,LOW,LOW,LOW,LOW,
OLEA EUROPAEA (OLIVE) EXTRACT,1,LOW,LOW,LOW,LOW,
POLYGLYCERYL-2 STEARATE,1,LOW,LOW,LOW,LOW,Use restrictions (low)
PEG-8 BEESWAX,3,LOW,LOW,LOW,LOW,Non-reproductive organ system toxicity (low) and Contamination concerns (high)
PEG-8 BEESWAX,3,LOW,LOW,LOW,LOW,Non-reproductive organ system toxicity (low) and Contamination concerns (high)
SODIUM METHYL OLEYL TAURATE,1,LOW,LOW,LOW,LOW,
WITHANIA SOMNIFERA ROOT EXTRACT,1,LOW,LOW,LOW,LOW,
CEREUS GRANDIFLORUS (CACTUS) FLOWER EXTRACT,1,LOW,LOW,LOW,LOW,
PASSIFLORA INCARNATA (MAYPOPS) FRUIT EXTRACT,1,LOW,LOW,LOW,LOW,
HYDROXYPROPYLTRIMONIUM HYDROLYZED WHEAT PROTEIN,1,LOW,LOW,LOW,LOW,
METHYL 2-OCTYNOATE,3,LOW,HIGH,LOW,MODERATE,Use restrictions (moderate)
HYDROLYZED CORN PROTEIN,1,LOW,LOW,LOW,LOW,"Multiple, additive exposure sources (low)"
PHYLLANTHUS EMBLICA (INDIAN GOOSEBERRY) FRUIT EXTRACT,1,LOW,LOW,LOW,LOW,
DIATOMACEOUS EARTH,1,LOW,LOW,LOW,LOW,"Persistence and bioaccumulation (high) and Multiple, additive exposure sources (low)"
SHOREA ROBUSTA RESIN,1,LOW,LOW,LOW,LOW,
LAVANDULA ANGUSTIFOLIA (LAVENDER) FLOWER WATER,1,LOW,LOW,LOW,LOW,
HORDEUM VULGARE (BARLEY) EXTRACT,1,LOW,LOW,LOW,LOW,
ORCHIS MASCULA (EARLY-PURPLE ORCHID) FLOWER EXTRACT,1,LOW,LOW,LOW,LOW,
CHENOPODIUM QUINOA SEED EXTRACT,1,LOW,LOW,LOW,LOW,
ANISE ALCOHOL,3,LOW,HIGH,LOW,MODERATE,Use restrictions (moderate)
AGAR,1,LOW,LOW,LOW,LOW,
AVENA SATIVA (OAT),1,LOW,LOW,LOW,LOW,
CETYL HYDROXYETHYLCELLULOSE,1,LOW,LOW,LOW,LOW,
MAGNESIUM OXIDE,1,LOW,LOW,LOW,LOW,Enhanced skin absorption
PALMITOYL PENTAPEPTIDE-4,1,LOW,LOW,LOW,LOW,
PEG-55 PROPYLENE GLYCOL OLEATE,1,LOW,LOW,LOW,LOW,Non-reproductive organ system toxicity (low) and Contamination concerns (high)
ADIPIC ACID,1,LOW,LOW,LOW,LOW,"Use restrictions (low) and Irritation (skin, eyes, or lungs) (high)"
APPLE CIDER VINEGAR,1,LOW,LOW,LOW,LOW,Non-reproductive organ system toxicity (moderate)
SUCROSE LAURATE,1,LOW,LOW,LOW,LOW,
EUGENIA CARYOPHYLLUS (CLOVE) FLOWER OIL,3,LOW,HIGH,LOW,MODERATE,Use restrictions (moderate)
C14-22 ALCOHOLS,1,LOW,LOW,LOW,LOW,
LINUM USITATISSIMUM (FLAX) OIL,1,LOW,LOW,LOW,LOW,
PROPYLENE GLYCOL LAURATE,1,LOW,LOW,LOW,LOW,Enhanced skin absorption
ISOBUTYL ACETATE,1,LOW,LOW,LOW,LOW,"Non-reproductive organ system toxicity (moderate) and Irritation (skin, eyes, or lungs) (high)"
LAURAMINE OXIDE,1,LOW,LOW,LOW,LOW,Use restrictions (low) and Contamination concerns (high)
SOLANUM MELONGENA (EGGPLANT) FRUIT EXTRACT,1,LOW,LOW,LOW,LOW,
GLYCOLIPIDS,1,LOW,LOW,LOW,LOW,
POLYGLYCERYL-10 STEARATE,1,LOW,LOW,LOW,LOW,Use restrictions (low)
TRIHEPTANOIN,1,LOW,LOW,LOW,LOW,Enhanced skin absorption
C20-40 PARETH-10,1,LOW,LOW,LOW,LOW,Use restrictions (low)
CITRUS GRANDIS (GRAPEFRUIT) PEEL EXTRACT,4,LOW,HIGH,LOW,HIGH,"Use restrictions (high), Persistence and bioaccumulation (moderate), Multiple, additive exposure sources (low), Ecotoxicology (low), and Irritation (skin, eyes, or lungs) (high)"
DIMETHICONE/ POLYGLYCERIN-3 CROSSPOLYMER,1,LOW,LOW,LOW,LOW,
PEARL POWDER,1,LOW,LOW,LOW,LOW,
ETHYL LINOLENATE,1,LOW,LOW,LOW,LOW,
C12-20 ALKYL GLUCOSIDE,2,LOW,LOW,LOW,LOW,"Use restrictions (low) and Irritation (skin, eyes, or lungs) (low)"
TRIACETIN,1,LOW,LOW,LOW,LOW,Non-reproductive organ system toxicity (moderate)
GANODERMA LUCIDUM (REISHI) STEM EXTRACT,1,LOW,LOW,LOW,LOW,
SODIUM MYRISTOYL SARCOSINATE,1,LOW,LOW,LOW,LOW,"Enhanced skin absorption, Use restrictions (low), and Contamination concerns (high)"
SALVIA HISPANICA SEED EXTRACT,2,LOW,MODERATE,LOW,LOW,
GLYCERYL POLYMETHACRYLATE,1,LOW,LOW,LOW,LOW,
OLEYL ERUCATE,1,LOW,LOW,LOW,LOW,Use restrictions (low)
SALICORNIA HERBACEA EXTRACT,1,LOW,LOW,LOW,LOW,
MENTHONE GLYCERIN ACETAL,1,LOW,LOW,LOW,LOW,"Multiple, additive exposure sources (low), Ecotoxicology (low), and Irritation (skin, eyes, or lungs) (high)"
"TOLUENE-2,5-DIAMINE SULFATE",8,MODERATE,HIGH,LOW,HIGH,"Use restrictions (high), Ecotoxicology (low), and Occupational hazards (high)"
PRUNUS DOMESTICA (PLUM) SEED OIL,1,LOW,LOW,LOW,LOW,
CUPRESSUS SEMPERVIRENS (ITALIAN CYPRESS) OIL,1,LOW,LOW,LOW,HIGH,Use restrictions (high)
COFFEA ARABICA (ARABIAN COFFEE) EXTRACT,1,LOW,LOW,LOW,LOW,
SEA WATER,1,LOW,LOW,LOW,LOW,
C30-45 ALKYL DIMETHICONE,1,LOW,LOW,LOW,LOW,
SAMBUCUS NIGRA (ELDER) FLOWER EXTRACT,1,LOW,LOW,LOW,LOW,
TREMELLA FUCIFORMIS SPOROCARP EXTRACT,1,LOW,LOW,LOW,LOW,
AMMONIUM CHLORIDE,2,LOW,LOW,LOW,LOW,"Persistence and bioaccumulation (moderate), Non-reproductive organ system toxicity (moderate), Ecotoxicology (low), Irritation (skin, eyes, or lungs) (high), and Occupational hazards (high)"
CEDARWOOD BARK OIL,4,LOW,HIGH,LOW,LOW,Non-reproductive organ system toxicity (moderate) and Ecotoxicology (low)
DEXTRAN,1,LOW,LOW,LOW,LOW,
PEG-40 CASTOR OIL,2,LOW,MODERATE,LOW,LOW,"Use restrictions (low), Non-reproductive organ system toxicity (low), and Contamination concerns (high)"
PRUNUS DOMESTICA (PLUM) FRUIT EXTRACT,1,LOW,LOW,LOW,LOW,
ROSA DAMASCENA (ROSE) EXTRACT,3,LOW,HIGH,LOW,LOW,Use restrictions (low)
COCOS NUCIFERA (COCONUT) FRUIT MILK,1,LOW,LOW,LOW,LOW,
LAURETH-30,1,LOW,LOW,LOW,LOW,"Use restrictions (low), Non-reproductive organ system toxicity (moderate), Irritation (skin, eyes, or lungs) (low), and Contamination concerns (high)"
ECKLONIA RADIATA EXTRACT,1,LOW,LOW,LOW,LOW,
CITRUS AURANTIUM DULCIS (ORANGE) FLOWER EXTRACT,2,LOW,LOW,LOW,LOW,"Use restrictions (low), Non-reproductive organ system toxicity (low), and Irritation (skin, eyes, or lungs) (low)"
C12-13 PARETH-3,1,LOW,LOW,LOW,LOW,Use restrictions (low) and Non-reproductive organ system toxicity (moderate)
C30-45 ALKYL METHICONE,1,LOW,LOW,LOW,LOW,
TRIMETHOXYCAPRYLYLSILANE,1,LOW,LOW,LOW,LOW,
"N,N-BIS(2-HYDROXYETHYL)-P-PHENYLENEDIAMINE SULFATE",4,LOW,MODERATE,LOW,MODERATE,Use restrictions (moderate)
NUTMEG OIL,1,LOW,LOW,LOW,LOW,
CITRUS AURANTIUM DULCIS (ORANGE) PEEL WAX,1,LOW,LOW,LOW,LOW,"Use restrictions (low), Non-reproductive organ system toxicity (low), and Irritation (skin, eyes, or lungs) (low)"
POLYGLYCERYL-6 STEARATE,1,LOW,LOW,LOW,LOW,Use restrictions (low)
ARNICA MONTANA,2,LOW,MODERATE,LOW,LOW,
EUGENIA CARYOPHYLLUS (CLOVE) BUD OIL,3,LOW,HIGH,LOW,MODERATE,Use restrictions (moderate)
SODIUM PALMITATE,1,LOW,LOW,LOW,LOW,"Multiple, additive exposure sources (low)"
LILIUM CANDIDUM (MADONNA LILY) BULB EXTRACT,1,LOW,LOW,LOW,LOW,
MALVA SYLVESTRIS (COMMON MALLOW) EXTRACT,1,LOW,LOW,LOW,LOW,
ORYZANOL,1,LOW,LOW,LOW,LOW,
CEDRUS ATLANTICA (ATLAS CEDAR) OIL,4,LOW,HIGH,LOW,HIGH,"Use restrictions (high), Non-reproductive organ system toxicity (moderate), and Ecotoxicology (low)"
PHYTOSTERYL/ OCTYLDODECYL LAUROYL GLUTAMATE,1,LOW,LOW,LOW,LOW,
SODIUM CARBOMER,1,LOW,LOW,LOW,LOW,
POLYGLYCERYL-6 BEHENATE,1,LOW,LOW,LOW,LOW,Use restrictions (low)
MAGNESIUM PCA,1,LOW,LOW,LOW,LOW,
ANTHEMIS NOBILIS (CHAMOMILE),4,LOW,HIGH,LOW,LOW,"Neurotoxicity (low), Non-reproductive organ system toxicity (low), Multiple, additive exposure sources (low), and Irritation (skin, eyes, or lungs) (low)"
CETEARETH-12,1,LOW,LOW,LOW,LOW,"Enhanced skin absorption, Use restrictions (low), Irritation (skin, eyes, or lungs) (low), and Contamination concerns (high)"
BASIC RED 51,1,LOW,LOW,LOW,LOW,Use restrictions (low)
POLOXAMINE 1307,1,LOW,LOW,LOW,LOW,
LAURYL BETAINE,1,LOW,LOW,LOW,LOW,"Use restrictions (low) and Irritation (skin, eyes, or lungs) (low)"
GELLAN GUM,1,LOW,LOW,LOW,LOW,
HYDROLYZED WHEAT PROTEIN/ PVP CROSSPOLYMER,1,LOW,LOW,LOW,LOW,
CHLOROPHYLLIN-COPPER COMPLEX,2,LOW,LOW,LOW,HIGH,"Use restrictions (high), Persistence and bioaccumulation (moderate), Non-reproductive organ system toxicity (moderate), Multiple, additive exposure sources (low), and Ecotoxicology (low)"
OLIVE SQUALANE,1,LOW,LOW,LOW,LOW,
PPG-3 MYRISTYL ETHER,1,LOW,LOW,LOW,LOW,
JUNIPERUS MEXICANA OIL,1,LOW,LOW,LOW,LOW,"Non-reproductive organ system toxicity (moderate), Ecotoxicology (low), and Irritation (skin, eyes, or lungs) (low)"
MARIS AQUA,1,LOW,LOW,LOW,LOW,
POLOXAMER 124,2,LOW,LOW,LOW,LOW,Persistence and bioaccumulation (moderate) and Non-reproductive organ system toxicity (moderate)
SOLANUM LYCOPERSICUM (TOMATO) CALLUS CULTURE EXTRACT,1,LOW,LOW,LOW,LOW,
BRASSICA CAMPESTRIS/ ALEURITES FORDI OIL COPOLYMER,1,LOW,LOW,LOW,LOW,
SODIUM OLIVATE,1,LOW,LOW,LOW,LOW,
MYRISTOYL PENTAPEPTIDE-17,1,LOW,LOW,LOW,LOW,
BRASSICA ALCOHOL,1,LOW,LOW,LOW,LOW,
ECLIPTA PROSTRATA (FALSE DAISY) EXTRACT,1,LOW,LOW,LOW,LOW,Biochemical or cellular level changes (low)
MAGNESIUM GLUCONATE,1,LOW,LOW,LOW,LOW,
ORRIS EXTRACT,1,LOW,LOW,LOW,LOW,
DARUTOSIDE,1,LOW,LOW,LOW,LOW,
COLOPHONIUM,1,LOW,MODERATE,LOW,LOW,
POLYQUATERNIUM-55,1,LOW,LOW,LOW,LOW,
GLYCERYL TRIBEHENATE/ ISOSTEARATE/ EICOSANDIOATE,1,LOW,LOW,LOW,LOW,
"PANTHENOL, D-",1,LOW,LOW,LOW,LOW,"Multiple, additive exposure sources (low)"
TRISODIUM PHOSPHATE,1,LOW,LOW,LOW,LOW,Use restrictions (low)
HYDROLYZED OAT PROTEIN,1,LOW,LOW,LOW,LOW,"Use restrictions (low) and Multiple, additive exposure sources (low)"
ISOPROPYL LANOLATE,2,LOW,MODERATE,LOW,LOW,
ADIPIC ACID/ NEOPENTYL GLYCOL CROSSPOLYMER,1,LOW,LOW,LOW,LOW,
BIOTINOYL TRIPEPTIDE-1,1,LOW,LOW,LOW,LOW,
CITRUS RETICULATA FRUIT EXTRACT,1,LOW,LOW,LOW,MODERATE,"Use restrictions (moderate) and Irritation (skin, eyes, or lungs) (low)"
LEONTOPODIUM ALPINUM (EDELWEISS) EXTRACT,1,LOW,LOW,LOW,LOW,
ZINC PYRITHIONE,3,LOW,LOW,MODERATE,HIGH,"Use restrictions (high), Persistence and bioaccumulation (moderate), Non-reproductive organ system toxicity (moderate), and Ecotoxicology (low)"
CAMELLIA SINENSIS (GREEN TEA) LEAF POWDER,1,LOW,LOW,LOW,LOW,Use restrictions (low)
EQUISETUM ARVENSE (HORSETAIL) LEAF EXTRACT,1,LOW,LOW,LOW,LOW,
SODIUM CHONDROITIN SULFATE,1,LOW,LOW,LOW,LOW,
ETHYL TRISILOXANE,1,LOW,LOW,LOW,LOW,
PALMARIA PALMATA (DULSE) EXTRACT,1,LOW,LOW,LOW,LOW,
PEG-14M,1,LOW,LOW,LOW,LOW,Non-reproductive organ system toxicity (low) and Contamination concerns (high)
GLUCONIC ACID,1,LOW,LOW,LOW,LOW,
C12-13 PARETH-23,1,LOW,LOW,LOW,LOW,"Use restrictions (low), Non-reproductive organ system toxicity (moderate), and Irritation (skin, eyes, or lungs) (low)"
C9-12 ALKANE,1,LOW,LOW,LOW,LOW,
ACETYLATED GLYCOL STEARATE,1,LOW,LOW,LOW,LOW,
EQUISETUM ARVENSE (HORSETAIL),1,LOW,LOW,LOW,LOW,
ELETTARIA CARDAMOMUM (CARDAMOM) SEED OIL,1,LOW,LOW,LOW,LOW,
POLYGLYCERYL-10 MYRISTATE,1,LOW,LOW,LOW,LOW,Use restrictions (low)
AMYRIS BALSAMIFERA (WEST INDIAN ROSEWOOD) BARK OIL,1,LOW,LOW,LOW,LOW,"Multiple, additive exposure sources (low)"
STEAROXYDIMETHICONE,1,LOW,LOW,LOW,LOW,
PEG-4 DILAURATE,2,LOW,MODERATE,LOW,LOW,"Use restrictions (low), Non-reproductive organ system toxicity (low), and Contamination concerns (high)"
MELISSA OFFICINALIS (LEMON BALM) EXTRACT,1,LOW,LOW,LOW,MODERATE,"Use restrictions (moderate) and Multiple, additive exposure sources (low)"
ISOCETETH-20,1,LOW,LOW,LOW,LOW,"Use restrictions (low), Irritation (skin, eyes, or lungs) (low), and Contamination concerns (high)"
SARGASSUM FILIPENDULA (SARGASSUM WEED) EXTRACT,1,LOW,LOW,LOW,LOW,
TRIGLYCERIDE,1,LOW,LOW,LOW,LOW,
4-AMINO-2-HYDROXYTOLUENE,4,LOW,MODERATE,LOW,MODERATE,Use restrictions (moderate)
CHRYSANTHEMUM PARTHENIUM (FEVERFEW) EXTRACT,1,LOW,LOW,LOW,LOW,
LINALYL ACETATE,1,LOW,LOW,LOW,LOW,
HYDROGENATED CASTOR OIL DIMER DILINOLEATE,1,LOW,LOW,LOW,LOW,
BUTYROSPERMUM PARKII (SHEA BUTTER) UNSAPONIFIABLES,1,LOW,LOW,LOW,LOW,Use restrictions (low)
CASTOR ISOSTEARATE BEESWAX SUCCINATE,1,LOW,LOW,LOW,LOW,
ROSMARINUS OFFICINALIS (ROSEMARY) LEAF,1,LOW,LOW,LOW,LOW,
ZINGIBER OFFICINALE (GINGER) OIL,1,LOW,LOW,LOW,LOW,
POLYGLUTAMIC ACID,1,LOW,LOW,LOW,LOW,
CEDARWOOD OIL,1,LOW,LOW,LOW,LOW,"Non-reproductive organ system toxicity (moderate), Ecotoxicology (low), and Irritation (skin, eyes, or lungs) (low)"
Enantia chlorantha (moambe jaune),1,LOW,LOW,LOW,LOW,
LYSOLECITHIN,1,LOW,LOW,LOW,LOW,
HAMAMELIS VIRGINIANA (WITCH HAZEL) DISTILLATE,1,LOW,LOW,LOW,LOW,"Use restrictions (low) and Irritation (skin, eyes, or lungs) (low)"
GAMMA-NONALACTONE,1,LOW,LOW,LOW,LOW,Endocrine disruption (low)
SODIUM STANNATE,1,LOW,LOW,LOW,LOW,
CITRUS AURANTIFOLIA (LIME) FRUIT EXTRACT,1,LOW,LOW,LOW,HIGH,"Use restrictions (high), Non-reproductive organ system toxicity (low), and Irritation (skin, eyes, or lungs) (low)"
CORIANDRUM SATIVUM (CORIANDER) FRUIT OIL,4,LOW,HIGH,LOW,LOW,Persistence and bioaccumulation (moderate) and Non-reproductive organ system toxicity (moderate)
DIVINYLDIMETHICONE/ DIMETHICONE COPOLYMER,1,LOW,LOW,LOW,LOW,
OLEA EUROPAEA (OLIVE),1,LOW,LOW,LOW,LOW,
TILIA CORDATA (LINDEN) FLOWER EXTRACT,1,LOW,LOW,LOW,LOW,
VINEGAR,1,LOW,LOW,LOW,LOW,Non-reproductive organ system toxicity (moderate)
FRAGARIA CHILOENSIS (STRAWBERRY) FRUIT EXTRACT,1,LOW,LOW,LOW,LOW,
SACCHAROMYCES/ LYSATE EXTRACT,1,LOW,LOW,LOW,LOW,
1-DODECANOL,1,LOW,LOW,LOW,LOW,Non-reproductive organ system toxicity (moderate)
COLLAGEN AMINO ACIDS,1,LOW,LOW,LOW,LOW,Non-reproductive organ system toxicity (moderate)
LAVANDULA ANGUSTIFOLIA (LAVENDER) FLOWER POWDER,1,LOW,LOW,LOW,LOW,
BROMELAIN,1,LOW,MODERATE,LOW,LOW,"Irritation (skin, eyes, or lungs) (high)"
DISTARCH PHOSPHATE,1,LOW,LOW,LOW,LOW,Non-reproductive organ system toxicity (moderate)
ETOCRYLENE,1,LOW,LOW,LOW,LOW,
CANARIUM LUZONICUM (ELEMI) GUM NONVOLATILES,4,LOW,HIGH,LOW,LOW,Persistence and bioaccumulation (moderate)
CINNAMOMUM CAMPHORA (CAMPHOR) OIL,1,LOW,LOW,LOW,LOW,
HYDROGENATED POLYBUTENE,1,LOW,LOW,LOW,LOW,Non-reproductive organ system toxicity (moderate)
SIMMONDSIA CHINENSIS (JOJOBA),1,LOW,LOW,LOW,LOW,
CAMELLIA SINENSIS SEED OIL,1,LOW,LOW,LOW,LOW,
CUCUMIS SATIVUS (CUCUMBER) FRUIT WATER,1,LOW,LOW,LOW,LOW,
BRASSICA OLERACEA ITALICA (BROCCOLI) EXTRACT,1,LOW,LOW,LOW,LOW,
ORIGANUM VULGARE LEAF EXTRACT,1,LOW,LOW,LOW,LOW,
SUNFLOWER SEED OIL GLYCERIDE,1,LOW,LOW,LOW,LOW,
ARCTOSTAPHYLOS UVA-URSI (BEARBERRY) LEAF EXTRACT,1,LOW,LOW,LOW,LOW,
BORAGO OFFICINALIS (BORAGE) OIL,1,LOW,LOW,LOW,LOW,
OCTYLDODECYL MYRISTATE,1,LOW,LOW,LOW,LOW,Use restrictions (low)
POTASSIUM CITRATE,1,LOW,LOW,LOW,LOW,
PANAX QUINQUEFOLIUM ROOT EXTRACT,1,LOW,LOW,LOW,LOW,
CANNABIDIOL (CBD),2,LOW,LOW,LOW,HIGH,"Use restrictions (high), Neurotoxicity (low), Endocrine disruption (low), and Non-reproductive organ system toxicity (low)"
QUATERNIUM-18,3,LOW,MODERATE,LOW,LOW,"Neurotoxicity (low), Endocrine disruption (low), and Non-reproductive organ system toxicity (moderate)"
STEARYL GLYCYRRHETINATE,1,LOW,LOW,LOW,LOW,Use restrictions (low)
PISTACIA LENTISCUS (MASTIC) GUM,1,LOW,LOW,LOW,LOW,"Multiple, additive exposure sources (low)"
CARTHAMNUS TINCTORIUS (SAFFLOWER),1,LOW,LOW,LOW,LOW,
YUCCA SCHIDIGERA (MOJAVE YUCCA) EXTRACT,1,LOW,LOW,LOW,LOW,
PEG/ PPG-19/ 19 DIMETHICONE,3,LOW,LOW,LOW,LOW,Non-reproductive organ system toxicity (low) and Contamination concerns (high)
SPIRULINA PLATENSIS EXTRACT,1,LOW,LOW,LOW,LOW,
DISODIUM COCOAMPHODIPROPIONATE,1,LOW,LOW,LOW,LOW,Use restrictions (low) and Contamination concerns (high)
UNDECYLENOYL GLYCINE,1,LOW,LOW,LOW,LOW,"Use restrictions (low) and Irritation (skin, eyes, or lungs) (low)"
CITRUS AURANTIUM BERGAMIA (BERGAMOT) FRUIT EXTRACT,3,LOW,HIGH,LOW,MODERATE,"Use restrictions (moderate) and Irritation (skin, eyes, or lungs) (low)"
NATTO GUM,1,LOW,LOW,LOW,LOW,
SACCHAROMYCES/ XYLINUM BLACK TEA FERMENT,1,LOW,LOW,LOW,LOW,
PEG-4,3,LOW,LOW,LOW,LOW,Non-reproductive organ system toxicity (moderate) and Contamination concerns (high)
BETULA ALBA (BIRCH) BARK EXTRACT,2,LOW,LOW,LOW,MODERATE,Use restrictions (moderate)
PRUNUS SEROTINA (WILD CHERRY) EXTRACT,1,LOW,LOW,LOW,LOW,
TRIOLEIN,1,LOW,LOW,LOW,LOW,Enhanced skin absorption
SOY AMINO ACIDS,1,LOW,LOW,LOW,LOW,
PEG-6,1,LOW,LOW,LOW,LOW,Non-reproductive organ system toxicity (low) and Contamination concerns (high)
ALUMINUM ZIRCONIUM TRICHLOROHYDREX GLY,2,LOW,LOW,LOW,MODERATE,Use restrictions (moderate) and Non-reproductive organ system toxicity (low)
ISOAMYL COCOATE,1,LOW,LOW,LOW,LOW,
CALOPHYLLUM TACAMAHACA (TAMANU) SEED OIL,1,LOW,LOW,LOW,LOW,
PEG-32,1,LOW,LOW,LOW,LOW,Non-reproductive organ system toxicity (low) and Contamination concerns (high)
PERSEA GRATISSIMA (AVOCADO) BUTTER,1,LOW,LOW,LOW,LOW,
